date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:24	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:23%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/resume_l.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/resume_l.png	(from https://ukieweb.com/envato/ukiecard/style3/resume.html)
13:45:24	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:24%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/jquery.countTo.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/jquery.countTo.js	(from https://ukieweb.com/envato/ukiecard/style3/resume.html)
13:45:24	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:24%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio_l.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio_l.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:24	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:24%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p1.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p1.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:24	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-51b8fb84ed280%22	https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.ttf	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.ttf	(from https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/css/bootstrap.min.css)
13:45:25	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-51b8fb83f9040%22	https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.svg	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.svg	(from https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/css/bootstrap.min.css)
13:45:26	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:24%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b1.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b1.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:26	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:25%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b2.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b2.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:26	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:25%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p2.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p2.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:26	1772/1772	---M--	200	added ('OK')	image/png	etag:%226ec-51b9011987d00%22	https://ukieweb.com/envato/ukiecard/style3/assets/img/arrow.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/arrow.png	(from https://ukieweb.com/envato/ukiecard/style3/assets/css/style.css)
